Section,Field,Value,Extra1,Extra2,Extra3

MATCH SUMMARY,Tournament,ICT Supreme Skippers League,,,
MATCH SUMMARY,Match,ICT Blue vs ICT Red,,,
MATCH SUMMARY,Ground,TCA Cricket Ground Hyderabad,,,
MATCH SUMMARY,Date,2026-05-25,,,
MATCH SUMMARY,Toss,ICT Red won toss and chose to bat,,,
MATCH SUMMARY,Team 1 Name,ICT Blue,,,
MATCH SUMMARY,Team 1 Score,120/10,,,
MATCH SUMMARY,Team 2 Name,ICT Red,,,
MATCH SUMMARY,Team 2 Score,95/10,,,
MATCH SUMMARY,Winner,ICT Blue,,,
MATCH SUMMARY,Win Margin,25 runs,,,

SQUAD,Team,Player,,,
SQUAD,ICT Blue,Raj007,,,
SQUAD,ICT Blue,Ted,,,
SQUAD,ICT Blue,Venkatesh,,,
SQUAD,ICT Blue,Siraj NK,,,
SQUAD,ICT Blue,Cyclone Cyclone,,,
SQUAD,ICT Blue,Innocent,,,
SQUAD,ICT Blue,JEBIN SAM,,,
SQUAD,ICT Blue,Rana Billa,,,
SQUAD,ICT Blue,Vicky MSV,,,
SQUAD,ICT Blue,ARUN Ak,,,
SQUAD,ICT Blue,Nari Sir,,,
SQUAD,ICT Blue,Kavya S,,,
SQUAD,ICT Blue,Manoj,,,
SQUAD,ICT Red,Lazy Nani,,,
SQUAD,ICT Red,Akhil R,,,
SQUAD,ICT Red,Badri Chowdhary,,,
SQUAD,ICT Red,Bujuk Mama,,,
SQUAD,ICT Red,Bunty,,,
SQUAD,ICT Red,Ghost Ryder,,,
SQUAD,ICT Red,Gokul Cheers,,,
SQUAD,ICT Red,Milan Zain,,,
SQUAD,ICT Red,Monika Chill,,,
SQUAD,ICT Red,Paaru Chowdary,,,
SQUAD,ICT Red,Thansy Kp,,,
SQUAD,ICT Red,Vijay Krishnan,,,
SQUAD,ICT Red,Virat 18,,,

1ST INNINGS BATTING,Batsman,Status,R,B,4s,6s,SR
1ST INNINGS BATTING,Yogesh Ragavan,b Lazy Nani,18,7,3,0,257.14
1ST INNINGS BATTING,Venkatesh,b Ghost Ryder,22,6,2,2,366.67
1ST INNINGS BATTING,Siraj NK,b Ghost Ryder,4,2,1,0,200.00
1ST INNINGS BATTING,Cyclone Cyclone,b AKHIL R,17,8,2,0,212.50
1ST INNINGS BATTING,Innocent,b Monika Chill,3,2,0,0,150.00
1ST INNINGS BATTING,JEBIN SAM,b Monika Chill,0,1,0,0,0.00
1ST INNINGS BATTING,ARUN Ak,b Monika Chill,0,1,0,0,0.00
1ST INNINGS BATTING,Rana Billa,b Monika Chill,0,1,0,0,0.00
1ST INNINGS BATTING,Raj007,not out,30,7,1,2,428.57
1ST INNINGS BATTING,Vicky MSV,b AKHIL R,0,1,0,0,0.00
1ST INNINGS BATTING,TED,b Lucky666,25,6,1,3,416.67
1ST INNINGS BATTING,Extras,Type,Value,,
1ST INNINGS BATTING,Total,Score,120,,

1ST INNINGS BOWLING,Bowler,Overs,Runs,Wickets,Eco
1ST INNINGS BOWLING,Bunty,1.0,23,0,23.00
1ST INNINGS BOWLING,Ghost Ryder,1.0,14,2,14.00
1ST INNINGS BOWLING,Lazy Nani,1.0,14,1,14.00
1ST INNINGS BOWLING,Monika Chill,1.0,12,4,12.00
1ST INNINGS BOWLING,Virat 18,1.0,14,0,14.00
1ST INNINGS BOWLING,AKHIL R,1.0,17,2,17.00
1ST INNINGS BOWLING,Lucky666,1.0,26,1,26.00

2ND INNINGS BATTING,Batsman,Status,R,B,4s,6s,SR
2ND INNINGS BATTING,Lazy Nani,b Innocent,2,2,0,0,100.00
2ND INNINGS BATTING,Bunty,b Vicky MSV,5,3,0,0,166.67
2ND INNINGS BATTING,Paaru Chowdary,b Rana Billa,22,8,0,1,275.00
2ND INNINGS BATTING,Badri Chowdhary,b ARUN Ak,13,5,1,0,260.00
2ND INNINGS BATTING,BUJUK MAMA,b TED,9,4,1,0,225.00
2ND INNINGS BATTING,Lucky666,b ARUN Ak,12,3,0,2,400.00
2ND INNINGS BATTING,AKHIL R,b Kavya S,20,5,0,3,400.00
2ND INNINGS BATTING,Ghost Ryder,b Kavya S,0,1,0,0,0.00
2ND INNINGS BATTING,Virat 18,b TED,7,3,0,1,233.33
2ND INNINGS BATTING,Monika Chill,b Raj007,3,2,0,0,150.00
2ND INNINGS BATTING,Thansy Kp,not out,2,1,0,0,200.00
2ND INNINGS BATTING,Extras,Type,Value,,
2ND INNINGS BATTING,Total,Score,95,,

2ND INNINGS BOWLING,Bowler,Overs,Runs,Wickets,Eco
2ND INNINGS BOWLING,Innocent,1.0,15,1,15.00
2ND INNINGS BOWLING,Vicky MSV,1.0,20,1,20.00
2ND INNINGS BOWLING,Rana Billa,1.0,9,1,9.00
2ND INNINGS BOWLING,Cyclone Cyclone,0.0,0,0,0.00
2ND INNINGS BOWLING,ARUN Ak,1.0,24,2,24.00
2ND INNINGS BOWLING,Kavya S,1.0,12,2,12.00
2ND INNINGS BOWLING,TED,1.0,15,2,15.00
2ND INNINGS BOWLING,Raj007,0.1,0,1,0.00

FALL OF WICKETS,Innings,Wicket,Score,Over,Batsman
FALL OF WICKETS,1,1,26,1,Yogesh Ragavan
FALL OF WICKETS,1,2,30,1,Siraj NK
FALL OF WICKETS,1,3,48,1,Venkatesh
FALL OF WICKETS,1,4,51,1,Innocent
FALL OF WICKETS,1,5,51,1,JEBIN SAM
FALL OF WICKETS,1,6,51,1,ARUN Ak
FALL OF WICKETS,1,7,51,1,Rana Billa
FALL OF WICKETS,1,8,84,2,Cyclone Cyclone
FALL OF WICKETS,1,9,84,2,Vicky MSV
FALL OF WICKETS,1,10,120,7,TED
FALL OF WICKETS,2,1,2,0,Lazy Nani
FALL OF WICKETS,2,2,26,1,Bunty
FALL OF WICKETS,2,3,42,2,Paaru Chowdary
FALL OF WICKETS,2,4,44,2,Badri Chowdhary
FALL OF WICKETS,2,5,56,3,BUJUK MAMA
FALL OF WICKETS,2,6,56,3,Lucky666
FALL OF WICKETS,2,7,79,4,Ghost Ryder
FALL OF WICKETS,2,8,86,4,AKHIL R
FALL OF WICKETS,2,9,93,5,Virat 18
FALL OF WICKETS,2,10,95,6,Monika Chill

MATCH OFFICIALS,Role,Name,,,
MATCH OFFICIALS,Scorer,JoJo,,,
MATCH OFFICIALS,Umpire 1,Lucky666,,,
MATCH OFFICIALS,Umpire 2,Admin,,,
MATCH OFFICIALS,Captain Team 1,ARUN Ak,,,
MATCH OFFICIALS,Captain Team 2,Lazy Nani,,,
